date,recom_type,source,recom_action,target,ticker,recom_type_ordinal
2020-11-06,Downgrade,Citigroup,Buy to Neutral,,SAP,1
2020-11-02,Downgrade,UBS,Buy to Neutral,,SAP,1
2020-10-28,Downgrade,Argus,Buy to Hold,,SAP,1
2020-10-26,Downgrade,JP Morgan,Overweight to Neutral,,SAP,1
2020-10-26,Downgrade,Exane BNP Paribas,Outperform to Neutral,130,SAP,1
2020-06-16,Reiterated,Oppenheimer,Outperform,115-137,SAP,3
2020-04-22,Downgrade,RBC Capital Mkts,Outperform to Sector-Perform,,SAP,1
2020-04-09,Upgrade,Deutsche Bank,Hold to Buy,,SAP,5
2019-12-17,Downgrade,BofA/Merrill,Neutral to Underperform,,SAP,1
2019-07-22,Initiated,Jefferies,Buy,,SAP,2
2019-07-19,Downgrade,Deutsche Bank,Buy to Hold,,SAP,1
2019-06-17,Upgrade,HSBC Securities,Hold to Buy,,SAP,5
2019-04-29,Upgrade,RBC Capital Mkts,Sector-Perform to Outperform,,SAP,5
2019-04-25,Reiterated,BMO Capital Markets,Market-Perform,115-135,SAP,3
2019-04-09,Downgrade,UBS,Buy to Neutral,,SAP,1
2019-04-09,Downgrade,HSBC Securities,Buy to Hold,,SAP,1
2019-02-04,Downgrade,BofA/Merrill,Buy to Neutral,,SAP,1
2018-07-20,Reiterated,Barclays,Overweight,134-128,SAP,3
2018-06-01,Initiated,Jefferies,Buy,,SAP,2
2018-03-12,Upgrade,Evercore ISI,In-line to Outperform,,SAP,5
