Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,ticker,name,sector,industry
-,25.47,1.52,38.10%,775.75M,-3.18%,30.29B,25.44,1.52,0.00%,455.54M,-0.51%,1.18B,18.20,-,2.90%,0.12%,4.91%,7.27B,4.17,-7.60%,-0.02%,7.45,5.00%,16.98,2.28,5.56%,6.70%,37.63,6.12%,1.06,36.42,1.40%,8.90%,34.46 - 40.25,0.13%,1.42,17.40,-3.20%,8.40%,-3.93%,0.05,3.67%,0.80,-1.70%,35.10%,12.22%,0.39,32611,1.00,2.60%,20.50%,45.52,0.79% 0.76%,Yes,0.11,3.00%,16.20%,1.10,38.96,Yes,0.07,Oct 30 BMO,-,74.33K,38.67,-,-1.04%,0.10%,3.21%,"84,767",-0.74%,CHT,"Chunghwa Telecom Co., Ltd.",Communication Services,Telecom Services
S&P 500,51.41,12.65,13.10%,202.83M,5.25%,128.80B,30.94,21.02,-1.38%,135.95M,-0.24%,2.69B,0.99,4.90,75.10%,7.82%,6.93%,47.23B,2.73,42.70%,4.55%,9.29,15.10%,132.66,4.90,48.71%,1.80%,704.57,27.35%,6.48,100.39,51.85%,9.20%,345.67 - 681.71,-1.68%,-,20.99,43.10%,5.50%,-4.59%,0.99,-,0.40,38.10%,52.30%,88.17%,14.69,95100,0.40,5.10%,16.40%,54.81,2.43% 2.42%,Yes,2.96,124.10%,5.70%,0.67,642.82,Yes,2.90,Jan 29 BMO,0.00%,1.14M,650.43,2.10,1.53%,0.67%,11.43%,"768,682",1.18%,CHTR,"Charter Communications, Inc.",Communication Services,Entertainment
-,-,-0.43,5.80%,409.26M,-6.54%,45.98B,-,-0.10,-5.36%,72.16M,4.96%,-174.50M,-,-0.10,90.20%,20.76%,54.31%,6.46B,7.12,5.70%,0.10%,3.50,115.77%,-0.14,-,76.30%,-14.40%,97.85,262.16%,1.16,90.91,-,56.50%,20.62 - 115.27,16.92%,-,-,-,62.60%,-8.83%,-,-,0.50,62.90%,24.70%,409.70%,6.08,12000,0.90,44.90%,-2.70%,59.27,5.14% 6.32%,Yes,-,59.20%,-2.70%,0.40,104.39,Yes,-,Dec 08 AMC,-,4.28M,105.10,1.90,4.72%,24.13%,75.37%,"1,746,798",0.68%,CHWY,"Chewy, Inc.",Consumer Cyclical,Internet Retail
S&P 500,15.86,14.26,0.20%,364.43M,1.06%,82.42B,11.01,20.55,-22.72%,355.80M,14.77%,5.30B,1.55,3.66,91.40%,1.00%,32.21%,156.85B,0.53,27.70%,0.04%,1.75,27.84%,131.80,1.72,10.50%,3.40%,256.33,7.07%,14.67,15.42,10.25%,11.40%,118.50 - 229.12,8.65%,4.00,11.83,11.40%,8.20%,-1.28%,0.85,1.77%,-,34.50%,-,90.88%,6.17,73700,-,5.90%,5.30%,64.34,2.66% 2.84%,Yes,0.75,5.90%,3.40%,1.02,228.42,Yes,0.61,Feb 04 BMO,0.30%,2.04M,226.19,1.80,7.04%,7.13%,19.42%,"2,094,958",-0.98%,CI,Cigna Corporation,Healthcare,Healthcare Plans
S&P 500,18.21,4.85,0.60%,160.90M,-3.84%,14.17B,23.15,3.81,-9.02%,149.88M,6.31%,793.00M,-,1.18,67.60%,3.84%,10.60%,6.99B,2.03,593.30%,0.25%,5.94,10.05%,60.57,1.46,32.95%,3.20%,83.33,-17.60%,5.69,15.51,-3.33%,8.60%,46.07 - 115.53,1.04%,2.40,13.38,30.80%,19.10%,-23.59%,0.60,2.72%,-,9.90%,-,91.62%,2.74,5148,-,31.00%,-,52.13,3.18% 3.03%,Yes,0.10,99.50%,11.30%,0.82,92.48,Yes,0.09,Feb 10 AMC,47.00%,968.26K,88.28,3.00,0.09%,5.60%,17.04%,"800,263",-4.54%,CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty
S&P 500,25.31,3.13,0.10%,859.00M,-3.89%,68.01B,24.37,3.25,-40.87%,855.19M,-7.74%,2.69B,3.55,0.76,80.70%,0.98%,-0.69%,16.16B,4.21,-3.20%,-0.05%,2.21,6.93%,0.76,104.32,6.52%,17.70%,85.00,12.41%,1.25,63.62,7.13%,-,58.49 - 86.41,-7.29%,1.76,39.26,3.10%,34.80%,-8.25%,0.61,2.22%,0.60,-1.90%,60.60%,35.54%,1.26,34300,1.00,5.70%,23.80%,26.06,1.73% 1.48%,Yes,11.08,20.70%,16.70%,1.53,80.20,Yes,10.68,Jan 29 BMO,55.40%,3.78M,79.28,2.70,-4.88%,-5.92%,2.74%,"5,771,996",-1.15%,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products
S&P 500,21.97,8.98,0.40%,126.35M,1.79%,24.61B,24.47,8.06,-54.47%,125.84M,-2.93%,1.15B,4.45,1.74,85.80%,9.76%,-6.36%,7.13B,3.45,16.40%,-0.09%,8.26,-13.33%,8.82,22.36,-0.63%,18.90%,222.21,23.54%,6.89,28.62,4.94%,140.70%,154.87 - 239.87,-2.33%,4.44,28.99,10.00%,25.40%,-17.78%,0.21,2.25%,1.10,3.50%,46.60%,27.34%,3.21,8800,1.40,27.20%,20.40%,44.60,1.81% 1.60%,Yes,0.00,102.40%,16.10%,0.82,196.93,Yes,2.49,Feb 04 BMO,47.00%,1.49M,197.21,2.70,-0.83%,-2.07%,-5.89%,"1,220,323",0.14%,CLX,The Clorox Company,Consumer Defensive,Household & Personal Products
-,13.59,6.51,0.03%,446.33M,-1.16%,39.72B,7.51,11.78,0.00%,443.26M,0.97%,2.90B,6.49,2.72,70.80%,0.88%,15.57%,13.87B,2.86,-26.50%,9.74%,12.42,26.41%,66.64,1.33,10.28%,0.50%,98.97,6.88%,408.85,0.22,2.10%,9.90%,46.45 - 90.42,3.44%,4.55,0.87,-1.50%,16.00%,-2.22%,1.17,5.15%,-,8.80%,-,90.33%,1.10,43853,-,-28.00%,48.80%,57.24,1.02% 1.27%,Yes,0.15,-14.70%,20.90%,0.58,89.04,Yes,0.15,Dec 03 BMO,89.30%,313.39K,88.41,3.30,1.09%,3.12%,20.07%,"181,611",-0.71%,CM,Canadian Imperial Bank of Commerce,Financial,Banks - Diversified
S&P 500,21.99,2.23,0.67%,4.58B,-2.05%,228.89B,16.99,2.89,-0.34%,4.53B,-3.48%,10.32B,3.68,0.48,85.70%,1.70%,10.98%,104.25B,2.20,11.80%,-0.06%,4.32,15.41%,18.83,2.61,14.72%,3.90%,54.69,3.56%,2.94,16.70,5.98%,12.40%,31.70 - 52.49,-6.24%,0.92,18.38,12.10%,9.20%,-6.40%,1.03,1.87%,0.90,9.60%,68.40%,54.96%,1.06,190000,0.90,-4.80%,18.10%,42.87,1.76% 2.11%,Yes,1.27,-37.40%,9.90%,1.28,48.88,Yes,1.22,Jan 28 BMO,39.80%,17.87M,49.13,2.10,-2.52%,-2.24%,12.32%,"22,605,172",0.51%,CMCSA,Comcast Corporation,Communication Services,Entertainment
S&P 500,31.03,6.00,0.10%,357.79M,-5.94%,67.65B,27.83,6.69,-11.99%,354.02M,2.63%,2.15B,10.58,1.37,86.90%,1.54%,15.75%,4.92B,13.74,3.50%,-0.10%,3.10,10.87%,75.41,2.47,-1.08%,1.90%,187.80,-8.99%,3.92,47.49,2.93%,8.10%,129.97 - 222.24,2.28%,3.40,133.36,12.00%,6.70%,-16.22%,0.47,1.83%,1.00,9.40%,-,43.26%,4.25,4360,1.00,-15.40%,54.70%,49.65,1.92% 2.15%,Yes,0.13,-35.30%,43.70%,0.78,189.83,Yes,0.13,Feb 10 BMO,54.90%,1.76M,186.20,2.50,-0.69%,4.58%,8.48%,"1,424,347",-1.91%,CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges
S&P 500,179.91,8.36,0.20%,27.97M,7.79%,42.25B,70.27,21.40,-58.04%,27.66M,6.00%,237.20M,6.80,3.74,97.70%,2.93%,11.51%,5.82B,7.26,103.40%,5.09%,2.51,26.86%,64.55,23.29,94.90%,4.50%,1461.31,71.03%,35.77,42.03,26.47%,13.80%,415.00 - 1483.64,8.44%,-,107.62,-2.60%,20.00%,1.35%,1.31,-,1.50,6.30%,23.80%,262.33%,35.01,83000,1.50,14.10%,4.70%,71.35,2.73% 2.41%,Yes,0.00,-18.80%,4.10%,0.90,1480.62,Yes,0.00,Feb 02 AMC,0.00%,322.01K,1503.68,2.20,7.65%,11.87%,28.39%,"298,353",1.56%,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants
S&P 500,23.37,10.61,0.10%,147.90M,2.97%,37.34B,17.99,13.78,0.00%,147.53M,10.57%,1.59B,6.24,2.78,85.30%,1.84%,11.59%,19.56B,1.91,9.50%,-0.08%,2.43,30.36%,52.06,4.76,22.24%,7.80%,249.57,45.81%,22.00,11.28,3.74%,21.60%,101.03 - 244.67,9.22%,5.40,35.10,9.90%,21.60%,1.37%,1.13,2.18%,1.30,4.20%,24.80%,145.51%,6.34,61615,1.90,-11.30%,10.20%,66.98,3.04% 2.57%,Yes,0.53,-15.30%,8.10%,2.44,236.53,Yes,0.47,Feb 04 BMO,49.20%,1.12M,248.03,2.50,7.35%,8.31%,25.21%,"2,659,119",4.86%,CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery
S&P 500,22.68,2.56,0.10%,285.60M,0.59%,16.41B,20.41,2.85,-5.47%,284.51M,-1.89%,732.40M,3.14,0.56,92.80%,1.46%,-10.61%,6.68B,2.46,3.00%,-0.15%,2.34,-9.32%,18.63,3.12,6.71%,2.70%,67.33,-12.68%,1.84,31.62,7.23%,14.70%,46.03 - 69.17,-4.75%,1.63,-,5.60%,5.80%,-15.99%,0.15,2.81%,0.60,-0.90%,67.40%,26.24%,1.20,8128,0.80,1.90%,19.80%,45.62,1.88% 2.04%,Yes,2.84,4.40%,11.40%,0.93,58.70,Yes,2.51,Feb 04 BMO,59.70%,1.77M,58.11,2.40,-0.53%,-4.01%,-3.93%,"1,649,327",-1.01%,CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
-,19.15,2.12,0.20%,271.70M,1.76%,10.92B,10.38,3.90,0.00%,270.84M,5.36%,576.00M,3.83,0.99,-,0.26%,36.41%,10.66B,1.02,23.00%,-0.02%,2.93,19.22%,44.24,0.92,58.41%,0.90%,38.50,-8.55%,1.64,24.71,5.00%,5.00%,25.18 - 49.26,3.95%,1.48,18.18,2.30%,7.60%,-17.79%,0.84,3.65%,-,2.00%,-,60.84%,0.89,5900,-,4.50%,7.50%,62.89,2.24% 2.27%,Yes,0.23,99.30%,5.40%,0.57,41.28,Yes,0.23,Nov 02 BMO,68.80%,241.37K,40.50,3.20,3.04%,8.60%,23.18%,"139,070",-1.89%,CNA,CNA Financial Corporation,Financial,Insurance - Property & Casualty
S&P 500,17.45,3.60,1.90%,579.51M,-5.65%,36.97B,11.91,5.27,-5.18%,569.26M,2.62%,2.03B,1.67,0.47,95.10%,1.50%,-4.29%,101.69B,0.36,39.10%,0.02%,2.18,-6.09%,44.39,1.41,5.55%,3.30%,81.44,-6.01%,23.24,2.70,10.45%,9.30%,43.96 - 74.70,4.53%,-,36.68,23.10%,4.90%,-16.00%,0.53,-,1.30,35.10%,18.50%,42.74%,1.97,56600,1.30,53.30%,3.30%,47.37,3.02% 2.94%,Yes,0.65,327.10%,2.00%,1.31,62.42,Yes,0.65,Feb 09 BMO,0.00%,3.92M,62.75,1.70,-0.13%,-1.58%,-1.67%,"5,083,291",0.53%,CNC,Centene Corporation,Healthcare,Healthcare Plans
-,-,-0.40,27.05%,1.35B,1.99%,19.37B,21.97,0.63,0.00%,995.28M,14.59%,-543.00M,-,0.14,49.68%,0.73%,60.88%,25.23B,0.77,34.80%,-,3.31,86.76%,3.51,3.94,569.15%,-1.20%,13.54,31.00%,4.58,3.01,5.42%,-9.80%,5.06 - 13.85,7.63%,-,4.63,15.00%,9.80%,-0.22%,1.70,-,-,-2.90%,17.50%,173.12%,0.33,63499,-,2.10%,2.60%,68.66,1.84% 2.05%,Yes,5.20,-248.00%,-2.20%,0.77,13.78,Yes,5.20,Nov 05 BMO,-,2.19M,13.82,2.30,5.32%,18.00%,65.32%,"1,690,305",0.29%,CNHI,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery
-,29.85,3.63,0.20%,711.00M,-4.74%,77.56B,21.92,4.94,0.00%,710.03M,-2.18%,2.59B,6.12,1.12,77.80%,0.22%,-3.37%,10.88B,7.13,-0.60%,0.77%,2.16,11.63%,21.50,5.04,17.93%,7.60%,118.08,14.78%,0.31,343.79,4.88%,18.20%,65.13 - 116.16,-1.45%,1.79,94.14,8.70%,13.80%,-6.80%,0.84,1.65%,0.80,4.20%,75.10%,66.22%,1.91,24008,1.10,-11.00%,33.30%,40.56,1.89% 1.66%,Yes,0.71,-16.60%,24.80%,0.80,110.13,Yes,0.67,Jan 26 AMC,59.70%,712.18K,108.26,2.50,-2.72%,-1.47%,9.87%,"586,500",-1.70%,CNI,Canadian National Railway Company,Industrials,Railroads
S&P 500,-,-1.60,0.29%,545.00M,4.18%,11.48B,15.49,1.40,0.00%,543.23M,-0.82%,-790.00M,-,0.19,98.00%,3.00%,1.64%,8.59B,1.34,81.30%,-0.01%,3.16,8.40%,10.88,1.99,6.79%,-2.90%,24.56,-17.15%,1.93,11.25,-5.88%,-17.70%,11.58 - 27.53,0.23%,0.64,-,-1.20%,5.40%,-21.21%,0.97,2.95%,0.60,5.90%,-,87.31%,0.51,14262,0.70,-2.20%,12.30%,52.07,2.12% 2.29%,Yes,2.25,-68.90%,-11.30%,0.70,21.48,Yes,2.01,Nov 05 BMO,-,5.16M,21.69,2.30,2.08%,-3.23%,9.20%,"3,683,252",0.98%,CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Gas
-,-,-0.39,3.30%,1.18B,-6.60%,30.69B,32.25,0.76,0.00%,1.16B,2.11%,-464.60M,-,0.09,66.60%,0.62%,41.45%,14.07B,2.18,114.40%,-2.64%,1.98,31.20%,21.56,1.14,7.50%,-0.80%,40.74,-20.23%,0.28,86.76,3.90%,-1.80%,6.71 - 31.52,2.45%,1.33,17.87,4.90%,10.40%,-21.83%,1.97,5.40%,0.70,3.90%,38.70%,267.21%,0.87,10180,1.00,-26.90%,2.00%,48.39,3.09% 3.26%,Yes,0.73,-60.10%,-3.30%,0.62,24.92,Yes,0.70,Nov 05 BMO,-,3.59M,24.64,1.90,-1.85%,3.78%,29.65%,"2,243,525",-1.12%,CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P
S&P 500,53.08,2.05,0.90%,457.80M,-3.16%,50.47B,10.42,10.41,-15.21%,453.34M,18.53%,953.00M,12.65,2.80,92.30%,1.06%,40.47%,26.91B,1.88,-6.90%,0.11%,1.50,69.46%,115.98,0.94,310.00%,-0.40%,117.75,1.67%,94.85,1.14,4.20%,-2.90%,38.00 - 115.48,9.80%,0.40,3.12,7.80%,15.50%,-6.01%,1.73,0.37%,-,8.00%,-,185.63%,3.15,52500,-,-12.20%,28.40%,61.14,2.76% 2.71%,Yes,0.79,88.50%,-5.60%,1.96,111.38,Yes,0.79,Jan 26 AMC,-,3.20M,108.54,1.90,4.12%,14.06%,46.44%,"6,253,832",-2.55%,COF,Capital One Financial Corporation,Financial,Credit Services
S&P 500,78.40,4.81,0.20%,49.10M,-1.28%,18.43B,26.87,14.03,-9.31%,44.62M,7.80%,238.40M,7.84,2.78,99.60%,1.46%,8.47%,2.43B,7.58,-47.90%,-0.06%,2.56,30.07%,77.89,4.84,11.97%,3.60%,365.75,4.70%,2.37,159.02,10.00%,6.40%,236.68 - 389.43,3.74%,0.06,105.49,3.00%,5.10%,-3.22%,0.82,0.02%,0.70,6.20%,63.10%,59.24%,9.06,12000,1.30,-1.40%,12.80%,60.06,2.39% 2.37%,Yes,0.47,-28.90%,9.80%,0.89,384.76,Yes,0.36,Dec 03 AMC,1.20%,254.83K,376.89,2.30,3.40%,7.87%,17.99%,"225,904",-2.05%,COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies
S&P 500,-,-1.13,0.04%,1.08B,-8.17%,48.94B,38.12,1.13,0.00%,1.07B,5.39%,-1209.00M,-,-0.20,76.00%,4.01%,32.57%,20.88B,2.34,20.40%,0.02%,3.26,5.62%,28.57,1.51,221.50%,-1.80%,53.22,-31.46%,5.76,7.50,-11.89%,-3.80%,20.84 - 64.85,8.00%,1.72,-,6.80%,13.00%,-33.40%,1.83,3.98%,2.20,-9.10%,38.60%,107.25%,1.73,9800,2.40,-43.40%,2.10%,50.20,4.39% 3.90%,Yes,0.50,-115.20%,-5.80%,1.27,45.36,Yes,0.48,Feb 02 BMO,-,13.13M,43.19,1.70,0.95%,4.96%,11.11%,"16,897,866",-4.78%,COP,ConocoPhillips,Energy,Oil & Gas E&P
S&P 500,37.26,9.74,0.20%,442.95M,-1.13%,160.79B,33.01,10.99,-4.07%,441.98M,-1.14%,4.32B,4.34,2.41,70.10%,0.87%,-1.59%,172.93B,0.93,12.90%,-0.13%,1.61,13.40%,33.55,10.81,8.82%,8.00%,400.37,19.37%,32.54,11.15,8.60%,26.00%,264.36 - 388.07,-3.71%,2.80,30.91,10.90%,15.50%,-6.51%,0.64,0.77%,0.50,7.50%,13.20%,37.24%,5.57,156000,1.00,16.70%,3.40%,45.04,1.80% 1.46%,Yes,0.51,37.90%,2.50%,0.89,361.30,Yes,0.51,Dec 10 AMC,27.60%,2.40M,362.80,2.20,-1.25%,-2.07%,8.78%,"2,122,581",0.42%,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores
-,-,-2.12,0.50%,68.94M,-3.58%,25.53B,897.77,0.38,-56.18%,67.38M,-6.77%,-142.80M,-,-0.11,-,10.01%,13.87%,489.60M,52.15,-51.10%,0.16%,5.63,9.13%,5.99,57.10,-19.79%,-7.50%,335.82,104.20%,18.14,18.85,24.90%,-32.60%,99.01 - 369.12,0.93%,-,373.25,-20.70%,-5.20%,-7.33%,1.52,-,1.60,50.30%,62.80%,245.47%,13.50,1693,1.60,30.60%,-17.80%,53.21,3.85% 3.68%,Yes,3.59,-111.30%,-29.20%,0.45,336.38,Yes,2.13,Dec 07 AMC,-,1.20M,342.05,2.40,0.02%,5.13%,24.82%,"705,023",1.69%,COUP,Coupa Software Incorporated,Technology,Software - Application
-,27.99,12.46,0.02%,135.53M,-4.05%,47.26B,21.95,15.89,0.00%,123.28M,1.44%,-,3.55,3.96,78.51%,0.45%,9.05%,-,-,-15.90%,-,1.83,27.49%,37.58,9.28,14.90%,-,374.26,35.06%,-,-,7.89%,-,173.26 - 379.00,0.58%,2.98,-,12.21%,-,-7.99%,-,0.85%,-,-,-,101.26%,7.30,12166,-,-5.90%,-,48.41,2.29% 2.04%,Yes,-,-3.20%,-,0.80,354.47,Yes,-,Jan 27 AMC,-,300.80K,348.71,2.30,-1.36%,2.37%,20.84%,"244,006",-1.62%,CP,Canadian Pacific Railway Limited,Industrials,Railroads
S&P 500,19.36,2.41,0.20%,302.00M,2.62%,13.96B,15.20,3.07,-1.00%,195.27M,-2.00%,732.00M,2.24,0.85,53.80%,9.84%,-2.20%,8.85B,1.58,23.60%,0.02%,9.32,-5.51%,9.17,5.08,0.89%,14.40%,52.17,-4.01%,2.41,19.33,8.64%,68.10%,40.70 - 57.54,-3.58%,1.48,20.17,-1.80%,11.20%,-18.98%,0.57,3.17%,0.50,1.50%,35.20%,14.55%,0.86,14500,0.80,7.20%,15.00%,44.98,1.75% 1.90%,Yes,2.20,82.20%,20.00%,0.88,46.04,Yes,1.80,Dec 09 BMO,23.90%,2.06M,46.62,2.90,-1.55%,-2.81%,-4.84%,"1,808,469",1.26%,CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods
S&P 500,40.55,2.85,11.75%,235.79M,-2.85%,27.67B,33.07,3.50,-1.30%,208.40M,-5.44%,682.00M,1.82,0.79,82.50%,1.64%,0.63%,2.24B,12.33,19.00%,-0.29%,2.72,29.19%,11.50,10.06,12.29%,20.30%,126.50,16.12%,2.53,45.68,22.30%,28.40%,55.69 - 130.96,-9.08%,-,77.57,28.50%,24.80%,-11.65%,0.98,-,2.70,14.00%,46.80%,107.76%,2.73,7600,2.80,6.90%,38.30%,40.45,1.90% 2.32%,Yes,0.15,-8.70%,30.40%,0.79,116.39,Yes,0.15,Nov 18 AMC,0.00%,1.26M,115.70,2.10,-4.68%,-2.40%,15.95%,"990,869",-0.59%,CPRT,"Copart, Inc.",Industrials,Specialty Business Services
-,16.58,2.30,49.57%,484.00M,-0.86%,18.35B,15.23,2.51,0.08%,40.75M,8.65%,1.11B,-,0.66,46.70%,3.44%,4.77%,6.08B,3.02,-10.20%,0.03%,6.85,9.71%,1.30,29.38,14.37%,5.80%,38.63,-7.55%,2.61,14.64,-4.70%,133.20%,17.75 - 42.27,8.34%,2.60,19.67,31.20%,11.00%,-9.65%,1.08,6.81%,2.30,91.00%,45.70%,115.15%,1.34,1530,2.40,-33.50%,35.10%,59.39,2.95% 3.59%,Yes,0.00,-197.80%,18.30%,1.27,38.73,Yes,28.03,Nov 06 BMO,86.50%,204.53K,38.19,2.90,6.47%,4.07%,8.31%,"256,240",-1.39%,CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream
-,-,-3.10,0.80%,110.34M,-3.70%,13.40B,-,-0.30,-6.60%,109.78M,17.86%,-338.30M,-,-0.25,-,11.88%,57.21%,877.70M,15.27,-217.70%,1.37%,7.79,71.46%,17.40,6.62,61.50%,-11.40%,74.00,121.31%,9.79,11.77,-,-17.10%,27.77 - 126.56,8.75%,-,-,-25.40%,-6.60%,-9.00%,1.49,-,3.80,-11.20%,26.00%,314.73%,6.25,5130,4.30,-10.80%,-36.60%,59.55,6.05% 5.97%,Yes,0.42,-376.30%,-38.50%,1.03,114.50,Yes,0.42,Oct 28 AMC,-,1.67M,115.17,2.90,4.27%,21.25%,69.26%,"1,703,324",0.59%,CREE,"Cree, Inc.",Technology,Semiconductors
-,19.75,2.25,1.00%,785.40M,-0.34%,35.04B,17.75,2.51,0.00%,776.20M,4.00%,1.80B,2.99,-,4.10%,0.09%,17.55%,33.43B,1.05,25.70%,0.26%,1.78,14.61%,28.30,1.57,7.46%,-,-,15.84%,15.56,2.86,6.60%,-,17.73 - 47.93,4.44%,0.91,10.37,20.70%,6.50%,-7.22%,1.08,2.05%,1.90,8.30%,32.70%,150.82%,1.06,86951,2.30,8.10%,8.80%,54.83,1.66% 1.83%,Yes,0.99,-56.10%,5.50%,0.77,45.26,Yes,0.90,-,34.60%,384.05K,44.47,-,0.87%,6.42%,21.27%,"295,264",-1.75%,CRH,CRH plc,Basic Materials,Building Materials
-,46.89,6.00,0.70%,49.70M,5.14%,13.64B,31.75,8.86,-16.20%,49.01M,12.96%,301.50M,3.47,2.11,96.20%,1.40%,20.43%,2.82B,4.83,13.30%,0.07%,2.23,41.93%,38.17,7.37,12.84%,5.90%,265.71,77.07%,5.03,55.94,13.53%,17.40%,95.58 - 283.60,12.56%,-,30.56,13.40%,8.50%,-0.83%,1.10,-,1.20,15.10%,36.70%,194.25%,6.86,17100,1.40,11.30%,14.60%,73.24,2.31% 2.80%,Yes,1.06,38.60%,10.70%,0.89,282.94,Yes,1.04,Oct 29 BMO,0.00%,308.46K,281.24,1.90,8.03%,14.17%,35.79%,"275,189",-0.60%,CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research
DJIA S&P500,133.44,1.67,0.20%,911.00M,1.83%,205.63B,63.44,3.50,-43.68%,880.30M,-2.31%,1.56B,7.54,0.75,83.40%,2.48%,-13.20%,20.29B,10.14,-89.60%,-0.12%,2.37,16.13%,44.25,5.02,-24.46%,6.30%,273.29,21.57%,10.26,21.66,17.69%,9.70%,115.29 - 284.50,-0.16%,-,57.73,18.80%,-0.70%,-21.91%,1.13,-,1.20,26.00%,74.50%,92.71%,4.55,49000,1.20,20.10%,1.10%,48.99,1.94% 1.98%,Yes,0.00,-,17.50%,0.74,223.44,Yes,0.07,Dec 01 AMC,0.00%,9.23M,222.17,1.90,0.49%,-4.53%,4.78%,"6,800,810",-0.57%,CRM,"salesforce.com, inc.",Technology,Software - Application
-,-,-3.25,1.30%,70.14M,-4.51%,13.85B,-,-5.31,-39.31%,61.40M,24.55%,-211.30M,-,-1.27,68.60%,6.31%,73.48%,77.40M,178.95,134.10%,0.33%,2.23,99.10%,19.15,9.67,-5.80%,-18.40%,146.56,217.01%,18.25,10.14,-,-20.70%,32.30 - 220.20,20.89%,-,-,54.00%,4.90%,-15.94%,2.36,-,16.50,-,-,473.07%,14.13,304,16.50,-100.00%,-,57.68,7.87% 8.58%,Yes,0.00,-154.80%,-,1.24,189.77,Yes,0.00,Oct 28 BMO,-,1.74M,185.10,2.40,3.93%,26.30%,94.33%,"2,211,419",-2.46%,CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology
-,-,-0.48,0.60%,219.40M,-2.39%,50.26B,650.00,0.34,-69.11%,186.39M,8.47%,-102.00M,-,0.08,72.50%,8.13%,54.94%,761.60M,65.99,-34.50%,0.11%,3.35,113.09%,3.71,59.57,54.55%,-6.50%,204.42,253.20%,4.66,47.42,25.00%,-13.20%,31.95 - 238.54,4.33%,-,197.41,-,-20.00%,-7.35%,-,-,1.90,-,72.90%,591.71%,10.22,3163,1.90,85.90%,-14.20%,58.81,3.88% 4.85%,Yes,0.00,35.70%,-13.40%,0.69,226.33,Yes,0.00,Dec 02 AMC,-,4.52M,221.00,1.90,1.09%,22.54%,77.02%,"3,175,741",-2.35%,CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure
-,7.98,1.72,3.10%,2.46B,-1.50%,34.10B,8.59,1.60,0.00%,2.32B,9.39%,4.36B,0.61,-,2.20%,0.14%,27.94%,17.47B,1.95,71.80%,0.12%,1.39,28.30%,20.98,0.66,16.03%,0.50%,14.69,2.75%,184.32,0.07,13.00%,8.40%,6.38 - 14.17,7.42%,0.31,-,6.20%,1.80%,-2.96%,1.57,2.25%,-,1.20%,-,115.66%,0.27,48800,-,-39.10%,32.90%,60.52,1.17% 1.49%,Yes,3.59,-37.10%,25.00%,0.55,13.77,Yes,3.59,-,14.10%,2.39M,13.75,2.00,3.52%,7.93%,29.55%,"1,317,237",-0.15%,CS,Credit Suisse Group AG,Financial,Banks - Diversified
DJIA S&P500,18.32,2.46,0.10%,4.23B,-0.55%,189.44B,13.38,3.37,-10.56%,4.22B,-0.73%,10.46B,2.98,0.76,74.10%,0.97%,15.08%,48.07B,3.94,-6.00%,0.26%,1.81,-3.82%,9.02,5.00,6.37%,11.30%,48.74,-8.05%,7.15,6.31,6.14%,28.40%,32.40 - 50.28,0.80%,1.44,20.71,8.60%,20.70%,-10.28%,0.90,3.19%,1.50,0.10%,64.10%,39.23%,0.76,77500,1.60,-9.30%,26.20%,56.49,1.45% 1.68%,Yes,0.38,-25.20%,21.80%,0.77,45.34,Yes,0.25,Feb 09 AMC,57.40%,22.62M,45.11,2.40,0.55%,3.78%,4.84%,"17,495,888",-0.51%,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment
